Token,Definition
contextual,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
learning,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
pattern,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
completion–based,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
memory,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
recallwhereas,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
those,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
recurrent,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
network,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
within,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
ca3,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
crucial,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
rapid,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
association,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
diverse,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
set,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
information,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
pattern,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
completion,"CA3 is required for rapid one-trial contextual learning, for pattern completion–based memory recall..|...whereas those in a recurrent
network within CA3 are crucial for the rapid association of diverse sets of information and pattern completion."
“pattern,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
completion”,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
subset,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
contextual,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
feature,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
experienced,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
prior,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
immediate,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
shock,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
delivery,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
trigger,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
recall,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
entire,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
contextual,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
representation,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
“context,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
memory”,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
preexposure,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
day,"“pattern completion” in which a subset of the contextual features, experienced prior to immediate shock delivery, trigger recall of the entire contextual representation (or “context memory”) from the preexposure day"
contrast,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
ca3,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
due,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
extensive,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
network,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
recurrent,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
collateral,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
modeled,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
processing,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
stage,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
pattern,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
completion,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
ability,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
network,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
retrieve,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
stored,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
output,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
pattern,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
when,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
presented,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
partial,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
degraded,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
input,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
pattern,"In contrast, CA3, due to its extensive network of recurrent collaterals, is modeled as a processing stage for pattern completion, the ability of the network to retrieve stored output patterns when presented with partial or degraded input patterns."
pattern,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
completion,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
ability,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
retrieve,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
complete,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
memory,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
initiated,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
subset,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
external,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
cuesthis,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
ability,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
reconstruct,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
retrieve,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
entire,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
memory,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
pattern,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
partial,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
degrade,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
cued,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
input,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
known,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
pattern,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
completion,"Pattern completion, the ability to retrieve complete memories initiated by subsets of external cues..|This ability to reconstruct and retrieve entire memory patterns from partial or degrade cued input is known as pattern completion."
hippocampus,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
ha,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
been,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
implicated,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
pattern,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
completion,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
process,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
stored,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
representation,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
pattern,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
stimulation,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
retrieved,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
subset,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
element,"The hippocampus has been implicated in pattern completion, the process by which a stored representation for a pattern of stimulation can be retrieved by a subset of its elements."
pattern,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
completion,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
enables,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
recall,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
memory,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
noisy,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
incomplete,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
sensory,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
cue,This pattern completion enables the recall of memories from noisy or incomplete sensory cues.
reinstate,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
previously,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
stored,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
firing,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
pattern,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
when,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
encountering,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
familiar,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
context,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
including,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
basis,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
incompletedegraded,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
set,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
sensory,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
cue,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
“pattern,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
completion”hippocampal,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
involvement,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
associative,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
memory,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
thought,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
rely,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
dense,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
network,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
recurrent,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
collateral,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
ca3,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
subfield,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
could,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
serve,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
autoassociative,"reinstate previously stored firing patterns when encountering a familiar context, including on the basis of an incomplete/degraded set of sensory cues (“pattern completion”)|Hippocampal involvement in associative memory is thought to rely on the dense network of recurrent collaterals in the CA3 subfield, which could serve as an auto-associative network capable of pattern completion (Marr 1971). Pattern completion refers to the recall of a complete memory or neural representation following the presentation of a partial or degraded stimulus, allowing content addressable memory and accurate recall in the face of noisy input."
